"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"C3114","0","10","40","0","2011","A","","Louisville-Jefferson County, KY-IN MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",33259,571146,24533248590,4429739252,153131609,826,42954,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-322,-1.0,5523,1.0,813281779,3.4,242000507,5.8,9925511,6.9,20,2.5,1018,2.4
"C3114","1","10","41","0","2011","A","","Louisville-Jefferson County, KY-IN MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",208,9680,596486803,0,0,1185,61621,"",0.85,0.77,0.72,0.00,0.00,0.94,0.94,"",-1,-0.5,-2017,-17.2,-58178061,-8.9,0,0.0,0,0.0,109,10.1,5650,10.1
"C3114","2","10","41","0","2011","A","","Louisville-Jefferson County, KY-IN MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",286,16789,763686940,3901076,123488,875,45488,"",1.17,0.84,0.85,0.15,1.47,1.01,1.01,"",-3,-1.0,284,1.7,21207254,2.9,-63671,-1.6,13318,12.1,10,1.2,504,1.1
"C3114","3","10","41","0","2011","A","","Louisville-Jefferson County, KY-IN MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",384,48845,2106700166,22509870,362750,829,43131,"",0.64,0.80,0.88,0.33,0.45,1.10,1.10,"",5,1.3,337,0.7,22342418,1.1,2562015,12.8,2185,0.6,3,0.4,162,0.4
"C3114","5","10","41","0","2011","A","","Louisville-Jefferson County, KY-IN MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",32381,495832,21066374681,4403328306,152645371,817,42487,"",1.01,1.04,1.03,1.02,1.00,0.99,0.99,"",-323,-1.0,6920,1.4,827910168,4.1,239502163,5.8,9910008,6.9,21,2.6,1092,2.6
"C3114","5","101","42","0","2011","A","","Louisville-Jefferson County, KY-IN MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",4738,89813,4644199174,910392739,53963781,994,51710,"",1.05,1.07,1.10,0.98,1.26,1.03,1.03,"",-294,-5.8,239,0.3,144088430,3.2,47955646,5.6,4794421,9.8,28,2.9,1471,2.9
"C3114","5","1011","43","0","2011","A","","Louisville-Jefferson County, KY-IN MSA","Private","Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",177,1381,52341938,13461967,624642,729,37908,"",0.38,0.17,0.13,0.14,0.18,0.79,0.79,"N",-6,-3.3,0,0,0,0,0,0,0,0,0,0,0,0
"C3114","5","1012","43","0","2011","A","","Louisville-Jefferson County, KY-IN MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",3139,24247,1089084806,275193261,18953630,864,44917,"",1.12,1.00,0.99,0.94,1.17,0.99,0.99,"",-235,-7.0,-839,-3.3,-58763616,-5.1,1794768,0.7,1882173,11.0,-16,-1.8,-839,-1.8
"C3114","5","1013","43","0","2011","A","","Louisville-Jefferson County, KY-IN MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",1423,64185,3502772430,621737511,34385509,1049,54573,"",1.15,1.24,1.28,1.14,1.48,1.03,1.03,"N",-52,-3.5,0,0,0,0,0,0,0,0,0,0,0,0
"C3114","5","102","42","0","2011","A","","Louisville-Jefferson County, KY-IN MSA","Private","Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",27644,406020,16422175507,3492935567,98681590,778,40447,"",1.00,1.03,1.01,1.03,0.90,0.98,0.98,"",-29,-0.1,6682,1.7,683821738,4.3,191546517,5.8,5115587,5.5,20,2.6,1036,2.6
