"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"21000","0","10","50","0","2011","A","","Kentucky -- Statewide","Total Covered","Total, all industries","State, Total Covered","All establishment sizes",108609,1734503,68766879506,12516907008,444261326,762,39646,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-1465,-1.3,22325,1.3,2472129840,3.7,275614991,2.3,15166205,3.5,17,2.3,926,2.4
"21000","1","10","51","0","2011","A","","Kentucky -- Statewide","Federal Government","Total, all industries","State, Total -- by ownership sector","All establishment sizes",1495,40861,2439850477,0,0,1148,59711,"",1.87,1.06,1.06,0.00,0.00,0.99,0.99,"",-39,-2.5,-1513,-3.6,66054951,2.8,0,0.0,0,0.0,71,6.6,3691,6.6
"21000","1","101","52","0","2011","A","","Kentucky -- Statewide","Federal Government","Goods-producing","State, by Domain -- by ownership sector","All establishment sizes",2,18,857438,0,0,916,47635,"",1.36,0.03,0.02,0.00,0.00,0.75,0.75,"",0,0.0,0,0.0,-49394,-5.4,0,0.0,0,0.0,-31,-3.3,-1605,-3.3
"21000","1","1011","53","0","2011","A","","Kentucky -- Statewide","Federal Government","Natural resources and mining","State, by Supersector -- by ownership sector","All establishment sizes",2,18,857438,0,0,916,47635,"",2.01,0.39,0.37,0.00,0.00,0.97,0.97,"",0,0.0,0,0.0,-49394,-5.4,0,0.0,0,0.0,-31,-3.3,-1605,-3.3
"21000","1","102","52","0","2011","A","","Kentucky -- Statewide","Federal Government","Service-providing","State, by Domain -- by ownership sector","All establishment sizes",1493,40843,2438993039,0,0,1148,59716,"",1.87,1.08,1.07,0.00,0.00,0.99,0.99,"",-39,-2.5,-1513,-3.6,66104345,2.8,0,0.0,0,0.0,71,6.6,3693,6.6
"21000","1","1021","53","0","2011","A","","Kentucky -- Statewide","Federal Government","Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",735,10447,548177717,0,0,1009,52473,"",1.97,1.10,1.23,0.00,0.00,1.12,1.12,"",-22,-2.9,-365,-3.4,-98141,0.0,0,0.0,0,0.0,34,3.5,1763,3.5
"21000","1","1022","53","0","2011","A","","Kentucky -- Statewide","Federal Government","Information","State, by Supersector -- by ownership sector","All establishment sizes",2,22,758997,0,0,654,33985,"",1.36,0.22,0.13,0.00,0.00,0.60,0.60,"",0,0.0,0,0.0,26491,3.6,0,0.0,0,0.0,11,1.7,563,1.7
"21000","1","1023","53","0","2011","A","","Kentucky -- Statewide","Federal Government","Financial activities","State, by Supersector -- by ownership sector","All establishment sizes",19,197,15932291,0,0,1559,81080,"",1.81,0.92,0.91,0.00,0.00,0.99,0.99,"",-2,-9.5,1,0.5,630280,4.1,0,0.0,0,0.0,54,3.6,2842,3.6
"21000","1","1024","53","0","2011","A","","Kentucky -- Statewide","Federal Government","Professional and business services","State, by Supersector -- by ownership sector","All establishment sizes",52,1448,106513333,0,0,1414,73550,"",2.71,1.46,1.57,0.00,0.00,1.07,1.07,"",0,0.0,-41,-2.8,4709110,4.6,0,0.0,0,0.0,99,7.5,5194,7.6
"21000","1","1025","53","0","2011","A","","Kentucky -- Statewide","Federal Government","Education and health services","State, by Supersector -- by ownership sector","All establishment sizes",33,7662,460075827,0,0,1155,60043,"",2.14,1.58,1.64,0.00,0.00,1.04,1.04,"",-1,-2.9,209,2.8,19987824,4.5,0,0.0,0,0.0,19,1.7,996,1.7
"21000","1","1026","53","0","2011","A","","Kentucky -- Statewide","Federal Government","Leisure and hospitality","State, by Supersector -- by ownership sector","All establishment sizes",24,986,27502453,0,0,537,27905,"",1.17,1.25,1.06,0.00,0.00,0.85,0.85,"",0,0.0,-117,-10.6,215105,0.8,0,0.0,0,0.0,61,12.8,3156,12.8
"21000","1","1027","53","0","2011","A","","Kentucky -- Statewide","Federal Government","Other services","State, by Supersector -- by ownership sector","All establishment sizes",3,23,1045883,0,0,887,46142,"",1.16,0.34,0.38,0.00,0.00,1.12,1.12,"",0,0.0,2,9.5,45222,4.5,0,0.0,0,0.0,-44,-4.7,-2277,-4.7
"21000","1","1028","53","0","2011","A","","Kentucky -- Statewide","Federal Government","Public administration","State, by Supersector -- by ownership sector","All establishment sizes",626,20059,1278986538,0,0,1226,63762,"",1.76,0.95,0.90,0.00,0.00,0.95,0.95,"",-13,-2.0,-1201,-5.6,40588454,3.3,0,0.0,0,0.0,106,9.5,5513,9.5
"21000","1","11","54","0","2011","A","","Kentucky -- Statewide","Federal Government","Agriculture, forestry, fishing and hunting","State, NAICS Sector -- by ownership sector","All establishment sizes",2,18,857438,0,0,916,47635,"",2.01,0.39,0.37,0.00,0.00,0.97,0.97,"",0,0.0,0,0.0,-49394,-5.4,0,0.0,0,0.0,-31,-3.3,-1605,-3.3
"21000","1","112","55","0","2011","A","","Kentucky -- Statewide","Federal Government","Animal production and aquaculture","State, NAICS 3-digit -- by ownership sector","All establishment sizes",2,18,857438,0,0,916,47635,"",83.54,74.61,90.41,0.00,0.00,1.21,1.21,"",0,0.0,0,0.0,-49394,-5.4,0,0.0,0,0.0,-31,-3.3,-1605,-3.3
